Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.012,0.0,0.116,0.0,0.0
0.026,0.0,0.12,0.0,0.0
0.038,0.0,0.12,0.0,0.0
0.052,0.0,0.116,0.0,0.0
0.065,0.0,0.116,0.0,0.0
0.081,0.0,0.112,0.0,0.0
0.099,0.0,0.116,0.0,0.0
0.112,0.0,0.116,0.0,0.0
0.122,0.0,0.116,0.0,0.0
0.133,0.0,0.116,0.0,0.0
0.145,0.0,0.116,0.0,0.0
0.156,0.0,0.116,0.0,0.0
0.166,0.0,0.116,0.0,0.0
0.178,0.0,0.12,0.0,0.0
0.189,0.0,0.12,0.0,0.0
0.199,0.0,0.116,0.0,0.0
0.211,0.0,0.116,0.0,0.0
0.222,0.0,0.116,0.0,0.0
0.232,0.0,0.116,0.0,0.0
0.244,0.0,0.116,0.0,0.0
0.255,0.0,0.12,0.0,0.0
0.265,0.0,0.116,0.0,0.0
0.277,0.0,0.116,0.0,0.0
0.288,0.0,0.116,0.0,0.0
0.345,0.0,5.072,0.0,0.0
0.356,0.0,5.072,0.0,0.0
0.366,0.0,5.076,0.0,0.0
0.378,0.0,5.072,0.0,0.0
0.389,0.0,5.076,0.01,0.051
0.399,0.0,5.076,0.015,0.076
0.411,0.0,5.072,0.014,0.071
0.422,0.0,5.076,0.01,0.051
0.434,0.0,5.076,0.0,0.0
0.445,0.0,5.072,0.011,0.056
0.456,0.0,5.076,0.01,0.051
0.466,0.0,5.072,0.011,0.056
0.477,0.0,5.076,0.011,0.056
0.488,0.0,5.072,0.01,0.051
0.499,0.0,5.076,0.01,0.051
0.51,0.0,5.076,0.0,0.0
0.614,0.0,5.076,0.01,0.051
0.625,0.0,5.076,0.01,0.051
0.636,0.0,5.072,0.01,0.051
0.648,0.0,5.076,0.0,0.0
0.66,0.0,5.072,0.0,0.0
0.672,0.0,5.076,0.01,0.051
0.682,0.0,5.076,0.0,0.0
0.694,0.0,5.076,0.0,0.0
0.705,0.0,15.168,0.028,0.425
0.715,0.0,15.168,0.026,0.394
0.777,0.0,15.156,0.322,4.88
0.787,0.0,15.16,0.073,1.107
0.797,0.0,15.168,0.027,0.41
0.808,0.0,15.16,0.226,3.426
0.821,0.0,15.156,0.418,6.335
0.834,0.0,15.156,0.527,7.987
0.847,0.0,15.156,0.027,0.409
0.859,0.0,15.168,0.029,0.44
0.875,0.0,15.16,0.226,3.426
0.887,0.0,15.156,0.422,6.396
0.9,0.0,15.156,0.53,8.033
0.912,0.0,15.148,0.744,11.27
0.922,0.0,15.144,0.843,12.766
0.932,0.0,15.144,0.845,12.797
0.944,0.0,15.144,0.939,14.22
0.954,0.0,15.144,0.912,13.811
0.964,0.0,15.14,0.935,14.156
0.975,0.0,15.14,0.963,14.58
0.986,0.0,15.14,0.925,14.004
0.996,0.0,15.14,0.955,14.459
1.006,0.0,15.144,0.918,13.902
1.018,0.0,15.14,0.914,13.838
1.029,0.0,15.14,0.963,14.58
1.04,0.0,15.14,0.935,14.156
1.053,0.0,15.144,0.92,13.932
1.064,0.0,15.14,0.941,14.247
1.075,0.0,15.14,0.993,15.034
1.087,0.0,15.144,0.924,13.993
1.098,0.0,15.148,0.902,13.663
1.109,0.0,15.144,0.903,13.675
1.12,0.0,15.14,0.949,14.368
1.131,0.0,15.144,0.951,14.402
1.142,0.0,15.144,0.939,14.22
1.153,0.0,15.14,0.921,13.944
1.164,0.0,15.14,0.976,14.777
1.174,0.0,15.144,0.936,14.175
1.184,0.0,15.14,0.896,13.565
1.196,0.0,15.14,1.002,15.17
1.206,0.0,15.144,0.917,13.887
1.217,0.0,15.144,0.89,13.478
1.228,0.0,15.144,0.933,14.129
1.239,0.0,15.168,0.029,0.44
1.25,0.0,15.172,0.029,0.44
1.262,0.0,15.16,0.323,4.897
1.273,0.0,15.16,0.422,6.398
1.283,0.0,15.156,0.422,6.396
1.294,0.0,15.156,0.517,7.836
1.306,0.0,15.152,0.641,9.712
1.316,0.0,15.152,0.738,11.182
1.326,0.0,15.148,0.748,11.331
1.337,205.0,15.144,0.836,12.66
1.348,203.0,15.144,0.891,13.493
1.357,201.0,15.14,0.957,14.489
1.368,198.0,15.144,0.913,13.826
1.379,196.0,15.144,0.885,13.402
1.39,193.0,15.144,0.982,14.871
1.4,191.0,15.144,0.873,13.221
1.412,188.0,15.144,0.882,13.357
1.423,185.0,15.144,0.928,14.054
1.435,181.0,15.14,0.874,13.232
1.447,178.0,15.144,0.89,13.478
1.458,174.0,15.144,0.919,13.917
1.47,170.0,15.148,0.878,13.3
1.481,166.0,15.144,0.872,13.206
1.493,162.0,15.144,0.951,14.402
1.503,157.0,15.14,0.905,13.702
1.515,153.0,15.148,0.87,13.179
1.526,148.0,15.144,0.913,13.826
1.537,143.0,15.144,0.901,13.645
1.548,138.0,15.144,0.874,13.236
1.559,133.0,15.144,0.954,14.447
1.571,127.0,15.144,0.89,13.478
1.581,122.0,15.144,0.876,13.266
1.593,116.0,15.14,0.949,14.368
1.604,110.0,15.148,0.851,12.891
1.615,106.0,15.144,0.87,13.175
1.625,103.0,15.144,0.911,13.796
1.636,100.0,15.144,0.873,13.221
1.646,96.0,15.144,0.9,13.63
1.656,92.0,15.144,0.885,13.402
1.666,89.0,15.14,0.915,13.853
1.677,85.0,15.14,0.883,13.369
1.686,81.0,15.14,0.915,13.853
1.696,76.0,15.144,0.927,14.038
1.707,72.0,15.14,0.92,13.929
