Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.388,0.0,0.128,0.0,0.0
0.398,0.0,0.124,0.0,0.0
0.407,0.0,0.124,0.0,0.0
0.415,0.0,0.12,0.0,0.0
0.424,0.0,0.124,0.0,0.0
0.433,0.0,0.124,0.0,0.0
0.441,0.0,0.128,0.0,0.0
0.449,0.0,0.124,0.0,0.0
0.458,0.0,0.128,0.0,0.0
0.468,0.0,0.124,0.0,0.0
0.477,0.0,0.124,0.0,0.0
0.485,0.0,0.124,0.0,0.0
0.494,0.0,0.128,0.0,0.0
0.502,0.0,0.128,0.0,0.0
0.511,0.0,0.124,0.0,0.0
0.519,0.0,0.124,0.0,0.0
0.529,0.0,0.124,0.0,0.0
0.537,0.0,0.124,0.0,0.0
0.546,0.0,0.128,0.0,0.0
0.554,0.0,0.124,0.0,0.0
0.562,0.0,0.124,0.0,0.0
0.57,0.0,0.124,0.0,0.0
0.578,0.0,0.128,0.0,0.0
0.588,0.0,0.124,0.0,0.0
0.598,0.0,0.124,0.0,0.0
0.607,0.0,0.124,0.0,0.0
0.615,0.0,0.124,0.0,0.0
0.624,0.0,0.124,0.0,0.0
0.632,0.0,0.124,0.0,0.0
0.64,0.0,0.124,0.0,0.0
0.65,0.0,0.124,0.0,0.0
0.659,0.0,0.124,0.0,0.0
0.669,0.0,0.124,0.0,0.0
0.678,0.0,0.124,0.0,0.0
0.686,0.0,0.124,0.0,0.0
0.694,0.0,0.124,0.0,0.0
0.703,0.0,0.128,0.0,0.0
0.712,0.0,0.124,0.0,0.0
0.722,0.0,0.124,0.0,0.0
0.731,0.0,0.124,0.0,0.0
0.741,0.0,0.124,0.0,0.0
0.749,0.0,0.124,0.0,0.0
0.758,0.0,0.128,0.0,0.0
0.804,0.0,5.076,0.0,0.0
0.813,0.0,5.072,0.0,0.0
0.821,0.0,5.076,0.0,0.0
0.83,0.0,5.076,0.0,0.0
0.838,0.0,5.076,0.0,0.0
0.848,0.0,5.076,0.0,0.0
0.858,0.0,5.076,0.0,0.0
0.867,0.0,5.076,0.0,0.0
0.875,0.0,5.076,0.0,0.0
0.884,0.0,5.072,0.0,0.0
0.892,0.0,5.076,0.0,0.0
0.9,0.0,5.076,0.0,0.0
0.91,0.0,5.076,0.0,0.0
0.919,0.0,5.076,0.0,0.0
0.929,0.0,5.076,0.0,0.0
0.938,0.0,5.076,0.0,0.0
0.947,0.0,5.076,0.0,0.0
0.955,0.0,5.072,0.0,0.0
0.964,0.0,5.076,0.0,0.0
0.973,0.0,5.076,0.0,0.0
0.983,0.0,5.076,0.0,0.0
0.992,0.0,9.104,0.018,0.164
1.002,0.0,9.104,0.016,0.146
1.056,0.0,9.104,0.016,0.146
1.065,0.0,9.104,0.016,0.146
1.074,0.0,9.104,0.016,0.146
1.12,0.0,9.108,0.015,0.137
1.14,70.0,9.104,0.015,0.137
1.149,74.0,9.104,0.015,0.137
1.157,77.0,9.104,0.015,0.137
1.166,80.0,9.104,0.015,0.137
1.176,83.0,9.1,0.016,0.146
1.185,86.0,9.104,0.016,0.146
1.195,89.0,9.104,0.015,0.137
1.203,92.0,9.104,0.015,0.137
1.212,94.0,9.104,0.015,0.137
1.221,97.0,9.108,0.015,0.137
1.229,99.0,9.108,0.015,0.137
1.239,102.0,9.104,0.015,0.137
1.248,104.0,9.104,0.014,0.127
1.258,106.0,9.104,0.015,0.137
1.266,108.0,9.104,0.014,0.127
1.275,110.0,9.108,0.016,0.146
1.284,112.0,9.104,0.016,0.146
1.292,113.0,9.104,0.015,0.137
1.302,115.0,9.104,0.017,0.155
1.311,116.0,9.104,0.015,0.137
1.32,118.0,9.1,0.014,0.127
1.329,119.0,9.104,0.014,0.127
1.337,120.0,9.104,0.016,0.146
1.346,121.0,9.104,0.017,0.155
1.354,122.0,19.792,0.089,1.761
1.363,129.0,20.236,0.071,1.437
1.373,136.0,20.236,0.064,1.295
1.427,143.0,20.236,0.068,1.376
1.477,150.0,20.24,0.065,1.316
1.486,156.0,20.24,0.064,1.295
1.494,165.0,20.236,0.067,1.356
1.504,171.0,20.236,0.059,1.194
1.528,177.0,20.236,0.061,1.234
1.536,183.0,20.236,0.063,1.275
1.545,188.0,20.236,0.059,1.194
1.554,193.0,20.236,0.06,1.214
1.562,198.0,20.236,0.063,1.275
1.572,203.0,20.232,0.065,1.315
1.581,207.0,20.24,0.06,1.214
1.591,211.0,20.24,0.065,1.316
1.599,215.0,20.236,0.058,1.174
1.608,218.0,20.236,0.064,1.295
1.616,222.0,20.236,0.063,1.275
1.625,225.0,20.236,0.064,1.295
1.635,228.0,20.236,0.06,1.214
1.644,230.0,20.236,0.064,1.295
1.653,233.0,20.236,0.063,1.275
1.662,235.0,20.24,0.063,1.275
1.67,237.0,20.24,0.07,1.417
1.678,239.0,20.236,0.059,1.194
1.686,240.0,20.236,0.066,1.336
1.697,241.0,20.236,0.063,1.275
1.706,242.0,20.236,0.062,1.255
1.716,243.0,20.236,0.064,1.295
1.725,243.0,20.236,0.062,1.255
1.733,244.0,20.236,0.059,1.194
1.743,244.0,20.236,0.06,1.214
1.751,243.0,20.236,0.063,1.275
1.761,243.0,20.24,0.064,1.295
1.771,242.0,20.236,0.067,1.356
1.78,241.0,20.236,0.062,1.255
1.789,240.0,20.236,0.064,1.295
1.798,239.0,20.236,0.06,1.214
1.806,237.0,20.236,0.06,1.214
1.815,235.0,20.236,0.06,1.214
1.824,233.0,20.236,0.064,1.295
1.834,230.0,20.236,0.062,1.255
1.843,228.0,20.236,0.061,1.234
1.852,225.0,20.236,0.061,1.234
1.861,222.0,20.24,0.06,1.214
1.869,218.0,20.236,0.063,1.275
1.878,215.0,20.236,0.064,1.295
1.887,211.0,20.236,0.059,1.194
