Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.013,0.0,0.108,0.0,0.0
0.025,0.0,0.108,0.0,0.0
0.038,0.0,0.108,0.0,0.0
0.051,0.0,0.104,0.0,0.0
0.063,0.0,0.108,0.0,0.0
0.076,0.0,0.108,0.0,0.0
0.089,0.0,0.108,0.0,0.0
0.099,0.0,0.104,0.0,0.0
0.109,0.0,0.108,0.0,0.0
0.119,0.0,0.108,0.0,0.0
0.129,0.0,0.108,0.0,0.0
0.139,0.0,0.108,0.0,0.0
0.149,0.0,0.108,0.0,0.0
0.159,0.0,0.108,0.0,0.0
0.169,0.0,0.108,0.0,0.0
0.179,0.0,0.108,0.0,0.0
0.189,0.0,0.108,0.0,0.0
0.2,0.0,0.108,0.0,0.0
0.21,0.0,0.108,0.0,0.0
0.221,0.0,0.108,0.0,0.0
0.232,0.0,0.108,0.0,0.0
0.244,0.0,0.108,0.0,0.0
0.255,0.0,0.108,0.0,0.0
0.265,0.0,0.108,0.0,0.0
0.276,0.0,0.108,0.0,0.0
0.286,0.0,0.108,0.0,0.0
0.297,0.0,0.108,0.0,0.0
0.308,0.0,0.108,0.0,0.0
0.318,0.0,0.108,0.0,0.0
0.33,0.0,0.108,0.0,0.0
0.341,0.0,0.108,0.0,0.0
0.351,0.0,0.108,0.0,0.0
0.362,0.0,0.108,0.0,0.0
0.373,0.0,0.108,0.0,0.0
0.384,0.0,0.108,0.0,0.0
0.393,0.0,0.108,0.0,0.0
0.401,0.0,0.104,0.0,0.0
0.409,0.0,0.108,0.0,0.0
0.418,0.0,0.108,0.0,0.0
0.425,0.0,0.108,0.0,0.0
0.434,0.0,0.108,0.0,0.0
0.442,0.0,0.108,0.0,0.0
0.451,0.0,0.108,0.0,0.0
0.459,0.0,0.108,0.0,0.0
0.468,0.0,0.108,0.0,0.0
0.476,0.0,0.108,0.0,0.0
0.484,0.0,0.108,0.0,0.0
0.492,0.0,0.108,0.0,0.0
0.5,0.0,0.108,0.0,0.0
0.508,0.0,0.108,0.0,0.0
0.516,0.0,0.108,0.0,0.0
0.524,0.0,0.108,0.0,0.0
0.532,0.0,0.108,0.0,0.0
0.541,0.0,0.104,0.0,0.0
0.55,0.0,0.112,0.0,0.0
0.558,0.0,0.108,0.0,0.0
0.566,0.0,0.108,0.0,0.0
0.574,0.0,0.108,0.0,0.0
0.582,0.0,0.108,0.0,0.0
0.591,0.0,0.108,0.0,0.0
0.599,0.0,0.108,0.0,0.0
0.607,0.0,0.108,0.0,0.0
0.615,0.0,0.108,0.0,0.0
0.625,0.0,0.108,0.0,0.0
0.633,0.0,0.108,0.0,0.0
0.642,0.0,0.108,0.0,0.0
0.65,0.0,0.108,0.0,0.0
0.658,0.0,0.108,0.0,0.0
0.666,0.0,0.108,0.0,0.0
0.674,0.0,0.108,0.0,0.0
0.682,0.0,0.108,0.0,0.0
0.691,0.0,0.108,0.0,0.0
0.736,0.0,5.072,0.011,0.056
0.744,0.0,5.076,0.0,0.0
0.752,0.0,5.076,0.01,0.051
0.76,0.0,5.072,0.01,0.051
0.769,0.0,5.072,0.0,0.0
0.777,0.0,5.076,0.0,0.0
0.786,0.0,5.076,0.01,0.051
0.795,0.0,5.076,0.01,0.051
0.803,0.0,5.076,0.0,0.0
0.812,0.0,5.072,0.01,0.051
0.82,0.0,5.072,0.011,0.056
0.828,0.0,5.072,0.011,0.056
0.836,0.0,5.072,0.01,0.051
0.845,0.0,5.076,0.01,0.051
0.853,0.0,5.076,0.01,0.051
0.862,0.0,5.076,0.0,0.0
0.87,0.0,5.076,0.01,0.051
0.878,0.0,5.076,0.011,0.056
0.887,0.0,5.076,0.01,0.051
0.896,0.0,5.072,0.0,0.0
0.904,0.0,5.072,0.0,0.0
0.913,0.0,5.076,0.011,0.056
0.921,0.0,5.072,0.01,0.051
0.93,0.0,5.072,0.0,0.0
0.938,0.0,5.072,0.011,0.056
0.947,0.0,5.076,0.011,0.056
0.955,0.0,5.072,0.0,0.0
0.964,0.0,5.076,0.011,0.056
0.972,60.0,5.076,0.01,0.051
0.98,61.0,5.072,0.0,0.0
0.989,62.0,5.076,0.01,0.051
0.997,63.0,5.076,0.0,0.0
1.006,64.0,5.076,0.01,0.051
1.014,65.0,5.072,0.011,0.056
1.023,66.0,5.072,0.011,0.056
1.031,67.0,5.072,0.0,0.0
1.04,68.0,5.076,0.0,0.0
1.049,69.0,5.076,0.01,0.051
1.058,70.0,5.072,0.01,0.051
1.066,70.0,5.076,0.01,0.051
1.075,71.0,5.072,0.01,0.051
1.083,72.0,5.076,0.011,0.056
1.092,72.0,5.076,0.01,0.051
1.103,73.0,5.072,0.01,0.051
1.114,73.0,5.072,0.011,0.056
1.125,73.0,5.076,0.0,0.0
1.136,74.0,5.076,0.0,0.0
1.147,74.0,5.072,0.01,0.051
1.158,74.0,5.072,0.01,0.051
1.17,74.0,5.072,0.01,0.051
1.182,74.0,5.076,0.0,0.0
1.194,74.0,5.076,0.0,0.0
1.205,74.0,5.072,0.0,0.0
1.217,74.0,5.076,0.01,0.051
1.228,74.0,5.072,0.01,0.051
1.24,73.0,5.072,0.01,0.051
1.251,73.0,5.076,0.011,0.056
1.263,73.0,5.072,0.0,0.0
1.274,72.0,5.076,0.0,0.0
1.286,72.0,5.076,0.01,0.051
1.298,71.0,5.072,0.011,0.056
1.309,70.0,5.076,0.011,0.056
1.321,70.0,5.076,0.011,0.056
1.332,69.0,5.072,0.011,0.056
1.344,68.0,5.076,0.01,0.051
1.355,67.0,5.072,0.011,0.056
1.367,66.0,5.072,0.014,0.071
1.378,65.0,5.072,0.013,0.066
1.39,64.0,5.076,0.013,0.066
1.401,63.0,5.076,0.013,0.066
1.413,62.0,5.072,0.01,0.051
1.424,61.0,5.072,0.011,0.056
1.437,60.0,5.072,0.0,0.0
1.448,58.0,5.072,0.0,0.0
1.459,57.0,5.072,0.0,0.0
1.471,55.0,5.072,0.01,0.051
1.483,54.0,5.072,0.0,0.0
1.494,52.0,5.076,0.011,0.056
1.506,51.0,5.072,0.101,0.512
1.518,49.0,5.072,0.1,0.507
1.529,47.0,5.068,0.102,0.517
1.54,45.0,5.072,0.101,0.512
1.552,43.0,5.072,0.101,0.512
1.563,42.0,5.072,0.102,0.517
1.574,40.0,5.072,0.1,0.507
