Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.123,0.0,0.108,0.0,0.0
0.134,0.0,0.112,0.0,0.0
0.144,0.0,0.112,0.0,0.0
0.155,0.0,0.116,0.0,0.0
0.166,0.0,0.112,0.0,0.0
0.176,0.0,0.112,0.0,0.0
0.184,0.0,0.112,0.0,0.0
0.193,0.0,5.076,0.0,0.0
0.2,0.0,5.072,0.0,0.0
0.208,0.0,5.072,0.0,0.0
0.216,0.0,5.076,0.011,0.056
0.224,0.0,5.076,0.01,0.051
0.232,0.0,5.076,0.01,0.051
0.276,0.0,5.072,0.011,0.056
0.284,0.0,5.076,0.01,0.051
0.292,0.0,5.072,0.0,0.0
0.3,0.0,5.072,0.01,0.051
0.307,0.0,5.072,0.01,0.051
0.315,0.0,5.072,0.011,0.056
0.323,0.0,5.076,0.01,0.051
0.331,0.0,5.072,0.01,0.051
0.339,0.0,5.076,0.011,0.056
0.347,0.0,5.072,0.01,0.051
0.355,0.0,5.072,0.011,0.056
0.363,0.0,5.072,0.01,0.051
0.371,0.0,5.072,0.011,0.056
0.379,0.0,5.072,0.011,0.056
0.387,0.0,5.072,0.01,0.051
0.395,0.0,5.076,0.01,0.051
0.403,0.0,5.072,0.011,0.056
0.411,0.0,5.072,0.011,0.056
0.419,0.0,5.072,0.01,0.051
0.427,0.0,5.076,0.01,0.051
0.435,0.0,5.072,0.0,0.0
0.443,0.0,5.076,0.01,0.051
0.451,0.0,5.072,0.01,0.051
0.459,0.0,5.072,0.01,0.051
0.467,0.0,5.076,0.011,0.056
0.475,0.0,5.072,0.01,0.051
0.483,0.0,5.076,0.01,0.051
0.491,0.0,5.072,0.01,0.051
0.498,0.0,5.076,0.0,0.0
0.506,0.0,5.076,0.01,0.051
0.514,0.0,5.076,0.011,0.056
0.522,0.0,5.076,0.01,0.051
0.53,0.0,5.072,0.011,0.056
0.538,0.0,5.076,0.01,0.051
0.546,0.0,5.076,0.01,0.051
0.554,0.0,5.076,0.01,0.051
0.562,0.0,5.076,0.01,0.051
0.57,0.0,5.076,0.01,0.051
0.579,0.0,5.072,0.01,0.051
0.587,0.0,5.076,0.01,0.051
0.596,0.0,5.076,0.011,0.056
0.603,0.0,5.076,0.01,0.051
0.611,0.0,5.072,0.0,0.0
0.619,0.0,5.072,0.01,0.051
0.627,0.0,5.076,0.011,0.056
0.635,0.0,5.076,0.01,0.051
0.643,0.0,5.072,0.011,0.056
0.651,0.0,5.076,0.01,0.051
0.659,0.0,5.072,0.0,0.0
0.667,0.0,5.076,0.011,0.056
0.675,0.0,5.076,0.011,0.056
0.683,0.0,5.072,0.0,0.0
0.691,0.0,5.076,0.011,0.056
0.699,0.0,5.072,0.011,0.056
0.707,0.0,5.072,0.011,0.056
0.715,0.0,5.076,0.011,0.056
0.723,0.0,5.072,0.011,0.056
0.731,0.0,5.072,0.01,0.051
0.74,0.0,5.072,0.0,0.0
0.748,0.0,5.072,0.01,0.051
0.756,0.0,5.076,0.0,0.0
0.764,0.0,5.072,0.011,0.056
0.772,0.0,5.076,0.0,0.0
0.78,0.0,5.076,0.01,0.051
0.789,0.0,5.072,0.01,0.051
0.797,0.0,5.076,0.01,0.051
0.805,0.0,5.076,0.01,0.051
0.813,0.0,5.072,0.01,0.051
0.821,0.0,5.072,0.0,0.0
0.829,0.0,5.076,0.01,0.051
0.839,0.0,5.076,0.0,0.0
0.848,0.0,5.072,0.0,0.0
0.855,0.0,5.072,0.0,0.0
0.863,0.0,5.076,0.012,0.061
0.871,0.0,5.072,0.011,0.056
0.879,0.0,5.076,0.011,0.056
0.89,0.0,5.076,0.011,0.056
0.9,0.0,5.076,0.011,0.056
0.911,0.0,5.076,0.0,0.0
0.921,0.0,5.072,0.01,0.051
0.932,0.0,5.076,0.011,0.056
0.943,0.0,5.076,0.01,0.051
0.953,0.0,5.076,0.011,0.056
0.964,0.0,5.072,0.0,0.0
0.974,0.0,5.076,0.01,0.051
0.985,0.0,5.076,0.01,0.051
0.995,0.0,5.072,0.097,0.492
1.006,19.0,5.072,0.103,0.522
1.016,16.0,5.072,0.102,0.517
1.027,14.0,5.068,0.1,0.507
1.037,11.0,5.068,0.101,0.512
1.048,8.0,5.072,0.1,0.507
1.058,5.0,5.072,0.102,0.517
1.069,2.0,5.072,0.101,0.512
1.08,0.0,5.068,0.102,0.517
1.092,0.0,5.072,0.101,0.512
1.105,0.0,5.072,0.103,0.522
1.117,0.0,5.072,0.101,0.512
1.128,0.0,5.076,0.102,0.518
1.14,0.0,5.072,0.103,0.522
1.152,0.0,5.072,0.103,0.522
1.164,0.0,5.072,0.067,0.34
1.176,0.0,5.068,0.103,0.522
1.188,0.0,5.072,0.102,0.517
1.202,0.0,5.068,0.103,0.522
1.214,0.0,5.072,0.101,0.512
1.226,0.0,5.072,0.102,0.517
1.238,0.0,5.068,0.101,0.512
1.249,0.0,5.072,0.103,0.522
1.261,0.0,5.072,0.102,0.517
1.272,0.0,5.072,0.103,0.522
1.284,0.0,5.072,0.103,0.522
1.293,0.0,5.072,0.101,0.512
1.303,0.0,5.072,0.103,0.522
1.313,0.0,5.068,0.101,0.512
1.323,0.0,5.068,0.101,0.512
1.332,0.0,5.072,0.08,0.406
1.342,0.0,5.072,0.057,0.289
1.352,0.0,5.072,0.078,0.396
1.362,0.0,9.1,0.111,1.01
1.372,2.0,9.1,0.134,1.219
1.439,4.0,9.1,0.216,1.966
1.45,6.0,9.096,0.181,1.646
1.463,9.0,9.096,0.196,1.783
1.473,11.0,9.096,0.229,2.083
1.484,13.0,9.1,0.207,1.884
1.495,15.0,9.1,0.19,1.729
1.507,17.0,9.096,0.22,2.001
1.518,19.0,9.096,0.189,1.719
1.53,21.0,9.1,0.17,1.547
1.541,23.0,9.092,0.232,2.109
1.553,25.0,9.096,0.231,2.101
1.565,27.0,9.1,0.189,1.72
1.576,29.0,9.096,0.224,2.038
1.587,30.0,9.1,0.196,1.784
1.598,32.0,9.096,0.165,1.501
1.608,34.0,9.1,0.238,2.166
1.619,35.0,9.1,0.177,1.611
1.629,37.0,9.1,0.161,1.465
1.64,38.0,9.1,0.16,1.456
1.65,40.0,9.096,0.197,1.792
1.661,41.0,9.096,0.201,1.828
1.672,42.0,9.096,0.219,1.992
1.682,44.0,9.096,0.204,1.856
1.693,45.0,9.096,0.217,1.974
1.703,46.0,9.096,0.192,1.746
1.714,47.0,9.1,0.177,1.611
1.725,48.0,9.096,0.225,2.047
1.735,49.0,9.096,0.201,1.828
1.746,50.0,9.096,0.206,1.874
1.756,51.0,9.096,0.25,2.274
1.767,52.0,9.096,0.263,2.392
1.777,53.0,9.096,0.196,1.783
1.788,54.0,9.096,0.268,2.438
1.799,54.0,9.096,0.262,2.383
1.81,55.0,9.096,0.203,1.846
1.82,56.0,9.096,0.235,2.138
1.831,56.0,9.096,0.217,1.974
1.842,57.0,9.096,0.217,1.974
1.852,57.0,9.096,0.246,2.238
1.863,58.0,9.096,0.192,1.746
1.873,58.0,9.096,0.249,2.265
1.884,59.0,9.096,0.253,2.301
1.894,59.0,9.096,0.171,1.555
1.903,59.0,9.096,0.252,2.292
1.913,59.0,9.096,0.21,1.91
1.923,60.0,9.096,0.248,2.256
1.933,60.0,9.096,0.229,2.083
1.942,60.0,9.096,0.195,1.774
1.952,60.0,9.096,0.246,2.238
1.962,60.0,9.1,0.196,1.784
1.971,60.0,9.096,0.254,2.31
1.981,60.0,9.096,0.231,2.101
1.991,59.0,9.096,0.217,1.974
2.002,59.0,9.096,0.238,2.165
2.012,59.0,9.096,0.201,1.828
2.023,59.0,9.096,0.275,2.501
2.033,58.0,9.096,0.275,2.501
2.044,58.0,9.096,0.299,2.72
2.055,57.0,9.092,0.323,2.937
2.066,57.0,9.096,0.344,3.129
2.077,56.0,9.092,0.369,3.355
2.088,56.0,9.092,0.391,3.555
2.098,55.0,9.092,0.415,3.773
2.111,54.0,9.088,0.436,3.962
2.121,54.0,9.088,0.459,4.171
2.132,53.0,9.088,0.484,4.399
2.144,52.0,9.088,0.508,4.617
2.155,51.0,9.084,0.534,4.851
2.165,50.0,9.084,0.559,5.078
2.176,49.0,9.088,0.583,5.298
2.187,48.0,9.084,0.605,5.496
2.198,47.0,9.088,0.629,5.716
2.209,46.0,9.084,0.649,5.896
2.22,45.0,9.084,0.655,5.95
2.231,43.0,9.084,0.68,6.177
2.242,42.0,9.084,0.611,5.55
2.254,41.0,9.084,0.67,6.086
2.265,39.0,9.084,0.667,6.059
2.278,38.0,9.088,0.642,5.834
2.289,37.0,9.084,0.662,6.014
2.301,35.0,9.084,0.677,6.15
2.313,33.0,9.084,0.638,5.796
2.325,32.0,9.084,0.634,5.759
2.336,30.0,9.088,0.624,5.671
2.348,28.0,9.088,0.603,5.48
2.36,27.0,9.088,0.596,5.416
2.372,25.0,9.084,0.643,5.841
2.384,23.0,9.084,0.656,5.959
2.395,21.0,9.084,0.57,5.178
2.406,19.0,9.084,0.65,5.905
2.417,17.0,9.084,0.642,5.832
2.427,15.0,9.088,0.574,5.217
2.438,13.0,9.088,0.653,5.934
2.448,11.0,9.084,0.625,5.678
2.458,9.0,9.088,0.612,5.562
2.469,6.0,9.088,0.619,5.625
2.479,4.0,9.088,0.597,5.426
2.49,2.0,9.084,0.649,5.896
2.5,0.0,9.084,0.658,5.977
2.511,0.0,9.088,0.561,5.098
2.521,0.0,9.088,0.642,5.834
2.532,0.0,9.088,0.625,5.68
2.542,0.0,9.088,0.607,5.516
2.553,0.0,9.084,0.622,5.65
2.563,0.0,9.088,0.593,5.389
2.574,0.0,9.088,0.648,5.889
2.584,0.0,9.088,0.647,5.88
2.595,0.0,9.088,0.568,5.162
2.607,0.0,9.084,0.646,5.868
2.619,0.0,9.088,0.638,5.798
2.63,0.0,9.084,0.617,5.605
2.642,0.0,9.084,0.601,5.459
2.653,0.0,9.088,0.628,5.707
2.665,0.0,9.088,0.608,5.526
2.676,0.0,9.088,0.591,5.371
2.688,0.0,9.088,0.635,5.771
2.698,0.0,9.088,0.635,5.771
2.709,0.0,9.088,0.6,5.453
2.719,0.0,9.084,0.679,6.168
2.73,0.0,9.08,0.687,6.238
2.74,0.0,9.08,0.704,6.392
2.751,0.0,9.084,0.648,5.886
2.761,0.0,9.088,0.582,5.289
2.772,0.0,9.084,0.641,5.823
2.783,0.0,9.084,0.637,5.787
2.793,0.0,9.088,0.585,5.316
2.804,0.0,9.084,0.637,5.787
2.815,0.0,9.084,0.639,5.805
2.825,0.0,9.084,0.604,5.487
2.836,0.0,9.084,0.617,5.605
2.846,0.0,9.084,0.585,5.314
2.857,0.0,9.084,0.615,5.587
2.868,0.0,9.084,0.628,5.705
2.878,0.0,9.088,0.551,5.007
2.889,0.0,9.084,0.634,5.759
2.9,0.0,9.088,0.637,5.789
2.912,0.0,9.084,0.563,5.114
2.923,0.0,9.084,0.63,5.723
2.935,0.0,9.084,0.617,5.605
2.947,0.0,9.084,0.608,5.523
2.959,0.0,9.084,0.577,5.241
2.97,0.0,9.084,0.628,5.705
2.982,0.0,9.088,0.61,5.544
2.993,0.0,9.088,0.587,5.335
3.003,0.0,9.088,0.595,5.407
3.014,0.0,9.088,0.575,5.226
3.024,0.0,9.088,0.561,5.098
3.035,0.0,9.088,0.518,4.708
3.045,0.0,9.088,0.539,4.898
3.056,0.0,9.088,0.501,4.553
3.066,0.0,9.092,0.506,4.601
3.077,0.0,9.088,0.504,4.58
3.087,0.0,9.088,0.49,4.453
3.098,0.0,9.088,0.518,4.708
3.109,0.0,9.088,0.501,4.553
3.119,0.0,9.088,0.49,4.453
3.13,0.0,9.092,0.502,4.564
3.14,0.0,9.088,0.509,4.626
3.151,0.0,9.088,0.502,4.562
3.161,0.0,9.092,0.497,4.519
3.172,0.0,9.088,0.493,4.48
3.182,0.0,9.088,0.491,4.462
3.193,0.0,9.088,0.498,4.526
3.204,0.0,9.092,0.498,4.528
3.214,0.0,9.088,0.491,4.462
3.225,0.0,9.084,0.497,4.515
3.235,0.0,9.088,0.491,4.462
3.246,0.0,9.088,0.49,4.453
3.256,0.0,9.088,0.506,4.599
3.267,0.0,9.088,0.499,4.535
3.278,0.0,9.092,0.524,4.764
3.288,0.0,9.088,0.494,4.489
3.298,0.0,9.092,0.494,4.491
3.309,0.0,9.092,0.497,4.519
3.319,0.0,9.088,0.497,4.517
3.33,0.0,9.088,0.504,4.58
3.34,0.0,9.088,0.533,4.844
3.351,0.0,9.088,0.524,4.762
3.361,0.0,9.088,0.561,5.098
3.372,0.0,9.088,0.537,4.88
3.383,0.0,9.088,0.519,4.717
3.394,0.0,9.084,0.555,5.042
3.406,0.0,9.088,0.56,5.089
3.418,0.0,9.088,0.568,5.162
3.43,0.0,9.088,0.532,4.835
3.444,0.0,9.084,0.551,5.005
3.457,0.0,9.088,0.524,4.762
3.469,0.0,9.088,0.535,4.862
3.482,0.0,9.088,0.518,4.708
3.494,0.0,9.088,0.513,4.662
3.506,0.0,9.088,0.525,4.771
3.519,0.0,9.088,0.482,4.38
3.531,0.0,9.092,0.5,4.546
3.545,0.0,9.088,0.5,4.544
3.556,0.0,9.088,0.5,4.544
3.567,0.0,9.088,0.531,4.826
3.579,0.0,9.088,0.494,4.489
3.59,0.0,9.088,0.495,4.499
3.602,0.0,9.088,0.496,4.508
3.614,0.0,9.088,0.496,4.508
3.626,0.0,9.088,0.489,4.444
3.638,0.0,9.088,0.488,4.435
3.649,0.0,9.088,0.497,4.517
3.661,0.0,9.088,0.497,4.517
3.673,0.0,9.088,0.501,4.553
3.685,0.0,9.092,0.483,4.391
3.697,0.0,9.088,0.496,4.508
3.707,0.0,9.088,0.505,4.589
