Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.093,0.0,0.108,0.0,0.0
0.125,0.0,0.104,0.0,0.0
0.136,0.0,0.108,0.0,0.0
0.148,0.0,0.108,0.0,0.0
0.159,0.0,0.104,0.0,0.0
0.17,0.0,0.108,0.0,0.0
0.18,0.0,0.108,0.0,0.0
0.192,0.0,0.108,0.0,0.0
0.202,0.0,0.108,0.0,0.0
0.212,0.0,0.108,0.0,0.0
0.222,0.0,0.108,0.0,0.0
0.232,0.0,0.108,0.0,0.0
0.242,0.0,0.108,0.0,0.0
0.252,0.0,0.108,0.0,0.0
0.262,0.0,0.108,0.0,0.0
0.272,0.0,0.108,0.0,0.0
0.282,0.0,0.108,0.0,0.0
0.293,0.0,0.104,0.0,0.0
0.303,0.0,0.104,0.0,0.0
0.314,0.0,0.104,0.0,0.0
0.325,0.0,0.104,0.0,0.0
0.336,0.0,0.104,0.0,0.0
0.347,0.0,0.108,0.0,0.0
0.358,0.0,0.108,0.0,0.0
0.369,0.0,0.104,0.0,0.0
0.38,0.0,0.104,0.0,0.0
0.391,0.0,0.108,0.0,0.0
0.401,0.0,0.104,0.0,0.0
0.412,0.0,0.104,0.0,0.0
0.424,0.0,0.104,0.0,0.0
0.434,0.0,0.104,0.0,0.0
0.445,0.0,0.108,0.0,0.0
0.457,0.0,0.104,0.0,0.0
0.467,0.0,0.104,0.0,0.0
0.478,0.0,0.104,0.0,0.0
0.49,0.0,0.104,0.0,0.0
0.5,0.0,0.108,0.0,0.0
0.511,0.0,5.072,0.0,0.0
0.554,0.0,5.076,0.0,0.0
0.579,0.0,5.072,0.0,0.0
0.59,0.0,5.076,0.0,0.0
0.601,0.0,5.076,0.0,0.0
0.612,0.0,5.076,0.0,0.0
0.623,0.0,5.076,0.0,0.0
0.634,0.0,5.076,0.0,0.0
0.645,0.0,5.076,0.0,0.0
0.656,0.0,5.076,0.0,0.0
0.667,0.0,5.076,0.0,0.0
0.679,0.0,5.076,0.0,0.0
0.69,0.0,5.076,0.0,0.0
0.7,0.0,5.072,0.0,0.0
0.712,0.0,5.076,0.0,0.0
0.723,0.0,5.076,0.0,0.0
0.734,0.0,18.304,0.155,2.837
0.745,0.0,20.236,0.24,4.857
0.756,0.0,20.24,0.285,5.768
0.767,0.0,20.24,0.282,5.708
0.779,0.0,20.236,0.282,5.707
0.851,0.0,20.236,0.274,5.545
0.861,0.0,20.236,0.277,5.605
0.872,0.0,20.236,0.274,5.545
0.884,0.0,20.24,0.276,5.586
0.894,0.0,20.236,0.272,5.504
0.905,0.0,20.236,0.271,5.484
0.917,0.0,20.24,0.271,5.485
0.927,0.0,20.24,0.273,5.526
0.939,0.0,20.24,0.274,5.546
0.95,0.0,20.24,0.271,5.485
0.96,0.0,20.24,0.275,5.566
0.972,0.0,20.24,0.272,5.505
0.983,0.0,20.24,0.274,5.546
0.994,0.0,20.236,0.272,5.504
1.005,0.0,20.24,0.274,5.546
1.016,0.0,20.236,0.275,5.565
1.027,0.0,20.236,0.268,5.423
1.039,0.0,20.24,0.276,5.586
1.05,0.0,20.24,0.273,5.526
1.06,0.0,20.236,0.274,5.545
1.071,0.0,20.236,0.274,5.545
1.082,0.0,20.236,0.272,5.504
1.093,0.0,20.236,0.274,5.545
1.104,0.0,20.236,0.27,5.464
1.115,0.0,20.236,0.276,5.585
1.126,0.0,20.24,0.268,5.424
1.137,0.0,20.24,0.274,5.546
1.149,0.0,20.24,0.273,5.526
1.16,0.0,20.24,0.269,5.445
1.17,0.0,20.24,0.272,5.505
1.182,0.0,20.236,0.272,5.504
1.193,0.0,20.24,0.274,5.546
1.204,0.0,20.236,0.269,5.443
1.215,0.0,20.236,0.272,5.504
1.226,0.0,20.24,0.271,5.485
1.237,0.0,20.24,0.272,5.505
1.249,0.0,20.24,0.271,5.485
1.26,0.0,20.24,0.27,5.465
1.27,0.0,20.24,0.273,5.526
1.282,0.0,20.24,0.269,5.445
1.293,0.0,20.236,0.273,5.524
1.304,0.0,20.24,0.269,5.445
1.315,296.0,20.236,0.273,5.524
1.326,295.0,20.24,0.269,5.445
1.337,295.0,20.236,0.27,5.464
1.349,294.0,20.24,0.273,5.526
1.36,293.0,20.236,0.271,5.484
1.37,292.0,20.236,0.274,5.545
1.382,290.0,20.24,0.269,5.445
1.393,288.0,20.24,0.274,5.546
1.404,286.0,20.236,0.271,5.484
1.415,284.0,20.24,0.273,5.526
1.426,281.0,20.236,0.274,5.545
1.436,279.0,20.24,0.27,5.465
1.447,276.0,20.24,0.27,5.465
1.458,272.0,20.236,0.27,5.464
1.468,269.0,20.236,0.271,5.484
1.479,265.0,20.236,0.272,5.504
1.49,261.0,20.24,0.27,5.465
1.5,257.0,20.24,0.273,5.526
1.511,253.0,20.236,0.27,5.464
1.522,248.0,20.236,0.274,5.545
1.532,243.0,20.24,0.274,5.546
1.543,238.0,20.236,0.272,5.504
1.554,233.0,20.24,0.27,5.465
1.564,227.0,20.24,0.27,5.465
1.575,221.0,20.24,0.271,5.485
1.586,215.0,20.24,0.271,5.485
1.596,209.0,20.24,0.272,5.505
1.606,202.0,20.24,0.271,5.485
1.617,195.0,20.236,0.27,5.464
1.627,188.0,20.236,0.272,5.504
1.638,181.0,20.236,0.272,5.504
1.65,173.0,20.24,0.27,5.465
1.66,165.0,20.236,0.268,5.423
1.671,157.0,20.236,0.271,5.484
1.683,149.0,20.24,0.269,5.445
1.693,140.0,20.236,0.27,5.464
1.704,132.0,20.24,0.27,5.465
1.716,123.0,20.236,0.269,5.443
1.726,116.0,20.24,0.272,5.505
1.737,110.0,20.24,0.272,5.505
1.748,103.0,20.236,0.27,5.464
1.759,96.0,20.24,0.272,5.505
1.77,89.0,20.24,0.272,5.505
1.781,82.0,20.24,0.27,5.465
1.792,75.0,20.24,0.27,5.465
1.802,67.0,20.24,0.269,5.445
1.814,60.0,20.24,0.269,5.445
1.825,52.0,20.24,0.273,5.526
1.835,44.0,20.236,0.267,5.403
1.847,36.0,20.236,0.27,5.464
1.858,27.0,20.24,0.27,5.465
1.868,18.0,20.236,0.27,5.464
1.88,10.0,20.236,0.27,5.464
1.891,1.0,20.24,0.27,5.465
1.902,0.0,20.236,0.271,5.484
1.913,0.0,20.24,0.27,5.465
1.924,0.0,20.24,0.272,5.505
1.935,0.0,20.24,0.266,5.384
1.947,0.0,20.24,0.273,5.526
1.957,0.0,20.24,0.268,5.424
1.968,0.0,20.236,0.271,5.484
1.98,0.0,20.24,0.271,5.485
1.99,0.0,20.236,0.268,5.423
2.001,0.0,20.24,0.273,5.526
2.013,0.0,20.236,0.271,5.484
2.023,0.0,20.24,0.271,5.485
2.034,0.0,20.24,0.27,5.465
2.046,0.0,20.236,0.269,5.443
2.056,0.0,20.236,0.269,5.443
2.067,0.0,20.24,0.269,5.445
2.079,0.0,20.236,0.269,5.443
2.089,0.0,20.236,0.269,5.443
2.1,0.0,20.24,0.269,5.445
2.112,0.0,20.24,0.266,5.384
2.122,0.0,20.236,0.267,5.403
2.134,0.0,20.24,0.27,5.465
2.145,0.0,20.236,0.27,5.464
2.155,0.0,20.24,0.271,5.485
2.167,0.0,20.24,0.269,5.445
2.178,0.0,20.24,0.268,5.424
2.188,0.0,20.24,0.271,5.485
2.2,0.0,20.24,0.271,5.485
2.211,0.0,20.236,0.269,5.443
2.221,0.0,20.236,0.267,5.403
2.233,0.0,20.24,0.269,5.445
2.244,0.0,20.24,0.267,5.404
2.255,0.0,20.24,0.272,5.505
2.266,0.0,20.236,0.267,5.403
2.277,0.0,20.24,0.271,5.485
2.288,0.0,20.236,0.271,5.484
2.299,0.0,20.236,0.268,5.423
2.31,0.0,20.236,0.272,5.504
2.321,0.0,20.24,0.268,5.424
2.332,0.0,20.236,0.272,5.504
2.343,0.0,20.24,0.265,5.364
2.354,0.0,20.24,0.27,5.465
2.365,0.0,20.24,0.27,5.465
2.377,0.0,20.24,0.266,5.384
2.387,0.0,20.236,0.27,5.464
2.399,0.0,20.236,0.267,5.403
2.41,0.0,20.24,0.27,5.465
2.42,0.0,20.24,0.268,5.424
2.432,0.0,20.24,0.269,5.445
2.443,0.0,20.236,0.269,5.443
2.454,0.0,20.24,0.264,5.343
2.465,0.0,20.236,0.268,5.423
2.476,0.0,20.236,0.265,5.363
2.487,0.0,20.24,0.268,5.424
2.498,0.0,20.24,0.263,5.323
2.509,0.0,20.24,0.264,5.343
2.52,0.0,20.24,0.265,5.364
2.532,0.0,20.24,0.263,5.323
2.543,0.0,20.24,0.269,5.445
2.553,0.0,20.236,0.268,5.423
2.565,0.0,20.236,0.27,5.464
2.576,0.0,20.24,0.266,5.384
2.587,0.0,20.24,0.27,5.465
2.598,0.0,20.236,0.269,5.443
2.609,0.0,20.24,0.269,5.445
2.62,0.0,20.24,0.268,5.424
