Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.232,0.0,5.076,0.0,0.0
0.239,0.0,5.076,0.0,0.0
0.248,0.0,5.076,0.0,0.0
0.257,0.0,5.076,0.0,0.0
0.265,0.0,5.076,0.0,0.0
0.273,0.0,5.076,0.0,0.0
0.281,0.0,5.076,0.0,0.0
0.29,0.0,5.076,0.0,0.0
0.298,0.0,5.076,0.0,0.0
0.306,0.0,5.076,0.0,0.0
0.314,0.0,5.076,0.0,0.0
0.323,0.0,5.076,0.0,0.0
0.331,0.0,5.076,0.0,0.0
0.339,0.0,5.076,0.01,0.051
0.347,0.0,5.076,0.0,0.0
0.356,0.0,5.072,0.0,0.0
0.365,0.0,5.076,0.0,0.0
0.373,0.0,5.076,0.0,0.0
0.381,0.0,5.076,0.0,0.0
0.39,0.0,5.076,0.0,0.0
0.398,0.0,5.072,0.0,0.0
0.406,0.0,5.076,0.0,0.0
0.415,0.0,5.076,0.0,0.0
0.423,0.0,5.076,0.0,0.0
0.431,0.0,5.076,0.0,0.0
0.439,0.0,5.072,0.0,0.0
0.448,0.0,5.076,0.0,0.0
0.457,0.0,5.076,0.0,0.0
0.465,0.0,5.076,0.0,0.0
0.473,0.0,5.072,0.0,0.0
0.482,0.0,5.076,0.01,0.051
0.491,0.0,5.08,0.0,0.0
0.499,0.0,5.076,0.0,0.0
0.507,0.0,5.072,0.0,0.0
0.515,0.0,5.072,0.0,0.0
0.524,0.0,5.076,0.0,0.0
0.532,0.0,5.076,0.0,0.0
0.54,0.0,5.072,0.0,0.0
0.548,0.0,5.076,0.01,0.051
0.557,0.0,5.076,0.0,0.0
0.565,0.0,5.076,0.0,0.0
0.573,0.0,5.076,0.0,0.0
0.581,0.0,5.076,0.0,0.0
0.59,0.0,5.076,0.0,0.0
0.599,0.0,5.076,0.0,0.0
0.606,0.0,5.076,0.0,0.0
0.615,0.0,5.076,0.0,0.0
0.624,0.0,5.076,0.0,0.0
0.632,0.0,5.076,0.0,0.0
0.64,0.0,5.072,0.0,0.0
0.648,0.0,5.076,0.0,0.0
0.657,0.0,5.076,0.0,0.0
0.665,0.0,5.072,0.0,0.0
0.673,0.0,5.076,0.0,0.0
0.682,0.0,5.076,0.0,0.0
0.691,0.0,5.076,0.0,0.0
0.699,0.0,5.072,0.0,0.0
0.707,0.0,5.076,0.0,0.0
0.714,0.0,5.072,0.0,0.0
0.723,0.0,5.076,0.0,0.0
0.731,0.0,5.072,0.0,0.0
0.739,0.0,5.072,0.0,0.0
0.747,0.0,5.072,0.0,0.0
0.756,0.0,5.076,0.0,0.0
0.764,0.0,5.072,0.0,0.0
0.771,0.0,5.076,0.0,0.0
0.779,0.0,5.076,0.0,0.0
0.788,0.0,5.072,0.0,0.0
0.796,0.0,5.076,0.0,0.0
0.804,0.0,5.076,0.0,0.0
0.812,0.0,5.076,0.0,0.0
0.821,0.0,5.076,0.0,0.0
0.83,0.0,5.076,0.0,0.0
0.84,0.0,5.076,0.0,0.0
0.85,0.0,5.072,0.01,0.051
0.861,0.0,5.072,0.0,0.0
0.871,0.0,5.076,0.0,0.0
0.881,0.0,5.08,0.0,0.0
0.891,0.0,5.076,0.0,0.0
0.901,0.0,5.076,0.0,0.0
0.91,0.0,5.076,0.0,0.0
0.921,0.0,5.076,0.01,0.051
0.93,0.0,5.076,0.0,0.0
0.938,0.0,5.076,0.0,0.0
0.946,0.0,5.076,0.0,0.0
0.955,0.0,5.076,0.0,0.0
0.962,0.0,5.076,0.0,0.0
0.97,0.0,5.076,0.0,0.0
0.978,0.0,5.076,0.0,0.0
0.987,0.0,5.072,0.013,0.066
0.994,24.0,5.072,0.099,0.502
1.002,21.0,5.076,0.099,0.503
1.011,19.0,5.072,0.1,0.507
1.019,16.0,5.072,0.099,0.502
1.027,14.0,5.072,0.099,0.502
1.035,11.0,5.072,0.1,0.507
