Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.906,0.0,5.072,0.011,0.056
0.918,0.0,5.076,0.01,0.051
0.93,0.0,5.076,0.012,0.061
0.942,0.0,5.072,0.01,0.051
0.954,0.0,5.072,0.01,0.051
0.966,0.0,5.072,0.0,0.0
0.978,0.0,5.072,0.01,0.051
0.991,0.0,5.072,0.0,0.0
1.004,0.0,5.076,0.01,0.051
1.015,0.0,5.072,0.01,0.051
1.026,0.0,5.076,0.01,0.051
1.038,0.0,5.076,0.011,0.056
1.049,0.0,5.076,0.01,0.051
1.061,0.0,5.072,0.011,0.056
1.072,0.0,5.076,0.0,0.0
1.083,0.0,5.072,0.01,0.051
1.094,0.0,5.076,0.012,0.061
1.105,0.0,5.076,0.01,0.051
1.116,0.0,5.072,0.0,0.0
1.127,0.0,5.072,0.012,0.061
1.139,0.0,5.076,0.01,0.051
1.15,0.0,5.076,0.01,0.051
1.162,0.0,5.072,0.0,0.0
1.173,0.0,5.072,0.011,0.056
1.184,0.0,5.072,0.0,0.0
1.196,0.0,5.076,0.0,0.0
1.208,0.0,5.076,0.012,0.061
1.22,59.0,5.076,0.0,0.0
1.236,61.0,5.076,0.01,0.051
1.247,62.0,5.076,0.012,0.061
1.258,63.0,5.072,0.011,0.056
1.269,64.0,5.072,0.01,0.051
1.28,65.0,5.076,0.011,0.056
1.291,66.0,5.076,0.01,0.051
1.302,67.0,5.076,0.011,0.056
1.31,68.0,5.072,0.01,0.051
1.319,69.0,5.076,0.011,0.056
1.327,70.0,5.072,0.011,0.056
1.336,70.0,5.076,0.0,0.0
1.344,71.0,5.076,0.011,0.056
1.353,71.0,5.076,0.01,0.051
1.361,72.0,5.072,0.01,0.051
1.369,72.0,5.072,0.01,0.051
1.377,73.0,5.076,0.01,0.051
1.386,73.0,5.076,0.01,0.051
1.394,73.0,5.076,0.011,0.056
1.402,74.0,5.072,0.01,0.051
1.411,74.0,5.072,0.011,0.056
1.419,74.0,5.076,0.0,0.0
1.427,74.0,5.076,0.01,0.051
1.436,74.0,5.076,0.01,0.051
1.444,74.0,5.076,0.01,0.051
1.453,74.0,5.076,0.011,0.056
1.461,73.0,5.072,0.011,0.056
1.47,73.0,5.076,0.01,0.051
1.478,73.0,5.072,0.01,0.051
1.487,72.0,5.076,0.01,0.051
1.496,72.0,5.072,0.012,0.061
1.504,71.0,5.072,0.013,0.066
1.513,71.0,5.076,0.014,0.071
1.521,70.0,5.076,0.013,0.066
1.53,70.0,5.076,0.012,0.061
1.539,69.0,5.072,0.012,0.061
1.547,68.0,5.076,0.0,0.0
1.556,67.0,5.072,0.0,0.0
1.565,66.0,5.072,0.011,0.056
1.573,65.0,5.072,0.011,0.056
1.582,64.0,5.076,0.01,0.051
1.59,63.0,5.076,0.01,0.051
1.599,62.0,5.072,0.01,0.051
1.607,61.0,5.076,0.01,0.051
1.616,59.0,5.076,0.01,0.051
1.625,58.0,5.076,0.01,0.051
1.633,57.0,5.072,0.09,0.456
1.642,55.0,5.072,0.101,0.512
1.65,54.0,5.072,0.1,0.507
1.658,52.0,5.072,0.103,0.522
1.667,51.0,5.072,0.1,0.507
1.675,49.0,5.072,0.1,0.507
1.684,47.0,5.072,0.1,0.507
1.692,45.0,5.072,0.1,0.507
1.7,43.0,5.072,0.102,0.517
1.711,41.0,5.072,0.1,0.507
1.719,39.0,5.072,0.1,0.507
1.727,37.0,5.072,0.099,0.502
1.735,35.0,5.072,0.1,0.507
1.743,33.0,5.072,0.101,0.512
1.752,31.0,5.072,0.101,0.512
1.761,29.0,5.072,0.1,0.507
1.77,26.0,5.072,0.103,0.522
1.778,24.0,5.072,0.1,0.507
1.787,21.0,5.072,0.094,0.477
1.795,19.0,5.072,0.054,0.274
1.804,16.0,5.076,0.079,0.401
1.812,14.0,5.068,0.1,0.507
1.821,11.0,5.072,0.102,0.517
1.829,8.0,5.072,0.1,0.507
1.838,5.0,5.072,0.102,0.517
1.846,2.0,5.072,0.1,0.507
