Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.187,0.0,5.076,0.01,0.051
0.196,0.0,5.076,0.0,0.0
0.203,0.0,5.076,0.0,0.0
0.212,0.0,5.076,0.0,0.0
0.257,0.0,5.076,0.0,0.0
0.265,0.0,5.076,0.0,0.0
0.272,0.0,5.076,0.011,0.056
0.281,0.0,5.076,0.0,0.0
0.29,0.0,5.076,0.01,0.051
0.297,0.0,5.076,0.01,0.051
0.305,0.0,5.076,0.0,0.0
0.314,0.0,5.072,0.0,0.0
0.322,0.0,5.076,0.01,0.051
0.33,0.0,5.076,0.011,0.056
0.338,0.0,5.076,0.0,0.0
0.347,0.0,5.076,0.01,0.051
0.355,0.0,5.076,0.0,0.0
0.363,0.0,5.076,0.0,0.0
0.371,0.0,5.072,0.0,0.0
0.379,0.0,5.076,0.01,0.051
0.388,0.0,5.08,0.01,0.051
0.395,0.0,5.076,0.01,0.051
0.403,0.0,20.208,1.06,21.42
0.412,0.0,20.204,1.072,21.659
0.421,0.0,20.208,1.069,21.602
0.428,0.0,20.212,1.069,21.607
0.436,0.0,20.208,1.07,21.623
0.493,0.0,20.212,1.068,21.586
0.501,0.0,20.212,1.07,21.627
0.51,0.0,20.212,1.072,21.667
0.518,0.0,20.208,1.071,21.643
0.525,0.0,20.208,1.069,21.602
0.533,0.0,20.212,1.07,21.627
0.542,0.0,20.208,1.071,21.643
0.55,0.0,20.212,1.071,21.647
0.558,0.0,20.208,1.071,21.643
0.566,0.0,20.208,1.072,21.663
0.575,0.0,20.212,1.069,21.607
0.583,0.0,20.208,1.072,21.663
0.591,0.0,20.212,1.072,21.667
0.599,0.0,20.208,1.07,21.623
0.608,0.0,20.208,1.096,22.148
0.616,0.0,20.208,1.096,22.148
0.624,0.0,20.208,1.093,22.087
0.632,0.0,20.208,1.097,22.168
0.64,0.0,20.204,1.095,22.123
0.648,0.0,20.208,1.095,22.128
0.656,0.0,20.208,1.095,22.128
0.664,0.0,20.208,1.095,22.128
0.673,0.0,20.208,1.094,22.108
0.681,0.0,20.208,1.096,22.148
0.689,0.0,20.208,1.095,22.128
0.697,0.0,20.208,1.096,22.148
0.705,0.0,20.212,1.095,22.132
0.714,0.0,20.208,1.096,22.148
0.721,0.0,20.208,1.096,22.148
0.729,0.0,20.212,1.097,22.173
0.738,0.0,20.212,1.096,22.152
0.747,0.0,20.208,1.093,22.087
0.754,0.0,20.208,1.094,22.108
0.762,0.0,20.212,1.094,22.112
0.771,0.0,20.208,1.095,22.128
0.78,0.0,20.208,1.096,22.148
0.791,0.0,20.208,1.094,22.108
0.802,0.0,20.212,1.118,22.597
0.814,0.0,20.208,1.119,22.613
0.824,0.0,20.208,1.119,22.613
0.836,0.0,20.212,1.12,22.637
0.847,0.0,20.208,1.116,22.552
0.857,0.0,20.208,1.119,22.613
0.869,0.0,20.208,1.121,22.653
0.88,0.0,20.208,1.12,22.633
0.891,0.0,20.208,1.12,22.633
0.902,0.0,20.208,1.118,22.593
0.913,0.0,20.208,1.121,22.653
0.923,0.0,20.208,1.117,22.572
0.934,0.0,20.208,1.12,22.633
0.946,0.0,20.208,1.12,22.633
0.956,0.0,20.208,1.119,22.613
0.967,0.0,20.208,1.116,22.552
0.979,0.0,20.204,1.118,22.588
0.988,0.0,20.208,1.119,22.613
0.998,0.0,20.212,1.139,23.021
1.009,0.0,20.212,1.143,23.102
1.019,0.0,20.212,1.142,23.082
1.029,0.0,20.208,1.139,23.017
1.039,0.0,20.212,1.142,23.082
1.048,0.0,20.208,1.14,23.037
1.058,0.0,20.208,1.14,23.037
1.068,0.0,20.212,1.141,23.062
1.078,222.0,20.212,1.141,23.062
1.088,216.0,20.208,1.143,23.098
1.099,210.0,20.208,1.141,23.057
1.11,203.0,20.208,1.141,23.057
1.121,197.0,20.208,1.142,23.078
1.131,190.0,20.208,1.141,23.057
1.142,183.0,20.212,1.143,23.102
1.152,176.0,20.212,1.141,23.062
1.163,168.0,20.208,1.141,23.057
1.174,160.0,20.208,1.143,23.098
1.184,155.0,20.208,1.141,23.057
1.195,150.0,20.208,1.165,23.542
1.206,145.0,20.208,1.164,23.522
1.216,139.0,20.208,1.164,23.522
1.227,134.0,20.208,1.163,23.502
1.238,128.0,20.204,1.162,23.477
1.248,122.0,20.208,1.165,23.542
1.259,115.0,20.208,1.164,23.522
1.27,109.0,20.208,1.165,23.542
1.28,102.0,20.208,1.163,23.502
1.291,95.0,20.204,1.164,23.517
1.302,88.0,20.208,1.166,23.563
1.312,81.0,20.208,1.165,23.542
1.323,74.0,20.208,1.165,23.542
1.334,66.0,20.208,1.164,23.522
1.345,59.0,20.208,1.165,23.542
1.355,51.0,20.208,1.166,23.563
1.366,43.0,20.208,1.166,23.563
1.376,34.0,20.208,1.165,23.542
1.387,26.0,20.212,1.164,23.527
1.397,17.0,20.208,1.188,24.007
1.408,8.0,20.208,1.189,24.027
