Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.413,0.0,5.072,0.0,0.0
0.421,0.0,5.072,0.0,0.0
0.43,0.0,5.076,0.0,0.0
0.438,0.0,5.076,0.01,0.051
0.446,0.0,5.076,0.0,0.0
0.454,0.0,5.076,0.0,0.0
0.499,0.0,0.108,0.0,0.0
0.507,0.0,0.108,0.0,0.0
0.515,0.0,0.108,0.0,0.0
0.524,0.0,0.108,0.0,0.0
0.532,0.0,0.112,0.0,0.0
0.54,0.0,0.112,0.0,0.0
0.549,0.0,0.112,0.0,0.0
0.557,0.0,0.108,0.0,0.0
0.565,0.0,0.112,0.0,0.0
0.573,0.0,0.112,0.0,0.0
0.582,0.0,0.112,0.0,0.0
0.59,0.0,0.112,0.0,0.0
0.598,0.0,0.108,0.0,0.0
0.607,0.0,0.112,0.0,0.0
0.615,0.0,0.108,0.0,0.0
0.624,0.0,0.108,0.0,0.0
0.632,0.0,0.108,0.0,0.0
0.64,0.0,0.108,0.0,0.0
0.649,0.0,0.108,0.0,0.0
0.657,0.0,0.112,0.0,0.0
0.665,0.0,0.112,0.0,0.0
0.673,0.0,0.112,0.0,0.0
0.682,0.0,0.108,0.0,0.0
0.691,0.0,0.112,0.0,0.0
0.699,0.0,0.108,0.0,0.0
0.707,0.0,0.112,0.0,0.0
0.715,0.0,0.112,0.0,0.0
0.724,0.0,0.108,0.0,0.0
0.732,0.0,0.112,0.0,0.0
0.74,0.0,0.108,0.0,0.0
0.749,0.0,0.108,0.0,0.0
0.757,0.0,0.108,0.0,0.0
0.766,0.0,0.108,0.0,0.0
0.774,0.0,0.108,0.0,0.0
0.782,0.0,0.108,0.0,0.0
0.79,0.0,0.108,0.0,0.0
0.799,0.0,0.112,0.0,0.0
0.807,0.0,0.108,0.0,0.0
0.816,0.0,0.108,0.0,0.0
0.824,0.0,0.108,0.0,0.0
0.833,0.0,0.112,0.0,0.0
0.841,0.0,0.112,0.0,0.0
0.849,0.0,0.108,0.0,0.0
0.858,0.0,0.112,0.0,0.0
0.866,0.0,0.112,0.0,0.0
0.875,0.0,0.112,0.0,0.0
0.883,0.0,5.072,0.01,0.051
0.929,0.0,5.072,0.0,0.0
0.937,0.0,5.072,0.0,0.0
0.949,0.0,5.072,0.01,0.051
0.962,0.0,5.076,0.01,0.051
0.975,0.0,5.04,1.024,5.161
0.987,0.0,5.036,1.023,5.152
0.999,0.0,5.04,1.023,5.156
1.011,0.0,5.04,1.026,5.171
1.023,0.0,5.04,1.025,5.166
1.036,0.0,5.036,1.026,5.167
1.046,-2.0,5.072,0.017,0.086
1.057,0.0,5.072,0.017,0.086
1.067,3.0,5.076,0.018,0.091
1.078,6.0,5.072,0.018,0.091
1.088,10.0,5.072,0.016,0.081
1.099,13.0,5.076,0.017,0.086
1.109,16.0,9.1,0.033,0.3
1.12,21.0,9.104,0.032,0.291
1.19,27.0,9.104,0.031,0.282
1.201,32.0,9.1,0.032,0.291
1.214,37.0,9.104,0.031,0.282
1.225,42.0,9.104,0.03,0.273
1.236,47.0,9.1,0.03,0.273
1.248,52.0,9.104,0.031,0.282
1.26,57.0,9.104,0.031,0.282
1.272,62.0,9.104,0.031,0.282
1.285,67.0,9.1,0.035,0.318
1.298,72.0,9.076,0.982,8.913
1.311,74.0,9.076,0.983,8.922
1.324,77.0,9.072,0.983,8.918
1.337,79.0,9.072,0.979,8.881
1.35,82.0,9.076,0.959,8.704
1.362,84.0,9.076,0.962,8.731
1.374,86.0,9.076,0.962,8.731
1.385,88.0,9.08,0.959,8.708
1.396,90.0,9.072,0.962,8.727
1.409,92.0,9.076,0.962,8.731
1.42,94.0,9.076,0.962,8.731
1.431,96.0,9.076,0.958,8.695
1.442,97.0,9.076,0.962,8.731
1.453,99.0,9.076,0.94,8.531
1.464,100.0,9.072,0.937,8.5
1.475,101.0,9.076,0.939,8.522
1.487,102.0,9.076,0.938,8.513
1.498,103.0,9.076,0.937,8.504
1.509,104.0,9.08,0.939,8.526
1.52,105.0,9.076,0.941,8.541
1.531,108.0,9.076,0.939,8.522
1.542,112.0,9.076,0.917,8.323
1.554,116.0,9.08,0.916,8.317
1.565,119.0,9.076,0.916,8.314
1.576,123.0,9.076,0.918,8.332
1.587,126.0,9.076,0.916,8.314
1.598,130.0,9.076,0.919,8.341
1.61,130.0,9.076,0.916,8.314
1.621,130.0,9.076,0.918,8.332
1.632,130.0,9.08,0.915,8.308
1.643,130.0,9.076,0.895,8.123
1.654,130.0,9.08,0.898,8.154
1.666,130.0,9.076,0.896,8.132
1.677,130.0,9.08,0.893,8.108
1.688,129.0,9.076,0.895,8.123
1.699,129.0,9.076,0.895,8.123
1.711,128.0,9.08,0.895,8.127
1.722,127.0,9.076,0.893,8.105
1.733,126.0,9.08,0.873,7.927
1.745,125.0,9.08,0.872,7.918
1.756,124.0,9.08,0.872,7.918
1.768,123.0,9.08,0.872,7.918
1.781,122.0,9.08,0.873,7.927
1.792,121.0,9.08,0.873,7.927
1.803,119.0,9.08,0.873,7.927
1.814,117.0,9.076,0.873,7.923
1.826,116.0,9.076,0.872,7.914
1.837,114.0,9.08,0.851,7.727
1.849,112.0,9.08,0.852,7.736
1.861,110.0,9.08,0.85,7.718
1.872,108.0,9.08,0.851,7.727
1.883,106.0,9.076,0.851,7.724
1.895,103.0,9.08,0.85,7.718
1.906,101.0,9.08,0.852,7.736
1.918,98.0,9.076,0.85,7.715
1.929,95.0,9.08,0.829,7.527
1.94,93.0,9.08,0.829,7.527
1.952,90.0,9.08,0.829,7.527
1.963,87.0,9.08,0.829,7.527
1.974,84.0,9.084,0.83,7.54
1.985,80.0,9.08,0.832,7.555
1.996,77.0,9.08,0.829,7.527
2.008,74.0,9.08,0.829,7.527
2.019,70.0,9.08,0.83,7.536
2.03,67.0,9.084,0.805,7.313
2.041,63.0,9.08,0.808,7.337
2.051,59.0,9.08,0.807,7.328
2.061,55.0,9.08,0.808,7.337
2.072,51.0,9.084,0.807,7.331
2.082,47.0,9.08,0.807,7.328
2.093,42.0,9.08,0.808,7.337
2.103,38.0,9.08,0.807,7.328
2.114,33.0,9.08,0.807,7.328
2.124,32.0,9.08,0.786,7.137
2.135,30.0,9.08,0.785,7.128
2.146,28.0,9.084,0.787,7.149
2.158,27.0,9.084,0.787,7.149
2.169,25.0,9.084,0.786,7.14
2.181,23.0,9.084,0.785,7.131
2.192,21.0,9.08,0.785,7.128
2.205,19.0,9.084,0.784,7.122
2.217,17.0,9.084,0.784,7.122
2.229,15.0,9.084,0.786,7.14
2.24,13.0,9.08,0.785,7.128
2.253,11.0,9.084,0.786,7.14
2.264,9.0,9.08,0.787,7.146
2.275,6.0,9.08,0.785,7.128
2.286,4.0,9.084,0.785,7.131
2.298,2.0,9.08,0.786,7.137
