Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.124,0.0,0.12,0.0,0.0
0.135,0.0,0.12,0.0,0.0
0.146,0.0,0.12,0.0,0.0
0.158,0.0,0.116,0.0,0.0
0.17,0.0,0.12,0.0,0.0
0.182,0.0,0.124,0.0,0.0
0.193,0.0,0.12,0.0,0.0
0.255,0.0,5.076,0.0,0.0
0.266,0.0,5.072,0.0,0.0
0.278,0.0,5.072,0.0,0.0
0.29,0.0,5.072,0.0,0.0
0.303,0.0,5.076,0.012,0.061
0.314,0.0,5.076,0.01,0.051
0.326,0.0,5.072,0.01,0.051
0.339,0.0,5.076,0.01,0.051
0.351,0.0,5.076,0.0,0.0
0.363,0.0,5.072,0.0,0.0
0.375,0.0,5.076,0.0,0.0
0.386,0.0,5.072,0.01,0.051
0.398,0.0,5.072,0.01,0.051
0.409,0.0,5.076,0.0,0.0
0.42,0.0,5.076,0.0,0.0
0.523,0.0,5.072,0.012,0.061
0.535,0.0,5.076,0.01,0.051
0.546,0.0,5.076,0.011,0.056
0.558,0.0,5.08,0.01,0.051
0.57,0.0,5.076,0.01,0.051
0.581,0.0,5.076,0.011,0.056
0.593,0.0,5.076,0.0,0.0
0.605,0.0,5.076,0.0,0.0
0.616,0.0,5.076,0.01,0.051
0.627,0.0,5.076,0.0,0.0
0.637,0.0,5.072,0.0,0.0
0.648,0.0,5.076,0.01,0.051
0.659,0.0,15.172,0.029,0.44
0.67,0.0,15.168,0.028,0.425
0.741,0.0,15.156,0.529,8.018
0.753,0.0,15.172,0.028,0.425
0.765,0.0,15.172,0.028,0.425
0.777,0.0,15.16,0.323,4.897
0.79,0.0,15.16,0.42,6.367
0.802,0.0,15.156,0.529,8.018
0.815,0.0,15.152,0.742,11.243
0.827,0.0,15.148,0.836,12.664
0.839,0.0,15.144,0.932,14.114
0.851,0.0,15.144,0.912,13.811
0.863,0.0,15.144,0.907,13.736
0.875,0.0,15.144,0.909,13.766
0.886,0.0,15.148,0.936,14.179
0.898,0.0,15.144,0.907,13.736
0.911,0.0,15.144,0.918,13.902
0.921,0.0,15.148,0.91,13.785
0.931,0.0,15.144,0.933,14.129
0.942,0.0,15.144,0.928,14.054
0.952,0.0,15.144,0.908,13.751
0.962,0.0,15.144,0.907,13.736
0.972,0.0,15.148,0.911,13.8
0.982,0.0,15.144,0.925,14.008
0.993,0.0,15.148,0.909,13.77
1.003,0.0,15.148,0.908,13.754
1.013,0.0,15.148,0.912,13.815
1.021,0.0,15.148,0.919,13.921
1.029,0.0,15.144,0.934,14.144
1.038,0.0,15.144,0.957,14.493
1.046,0.0,15.144,0.913,13.826
1.055,0.0,15.14,0.926,14.02
1.063,0.0,15.148,0.922,13.966
1.071,0.0,15.148,0.94,14.239
1.079,0.0,15.148,0.906,13.724
1.087,0.0,15.144,0.911,13.796
1.095,0.0,15.148,0.905,13.709
1.103,0.0,15.148,0.906,13.724
1.111,0.0,15.148,0.906,13.724
1.119,0.0,15.172,0.028,0.425
