Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.202,0.0,5.076,0.0,0.0
0.212,0.0,5.076,0.013,0.066
0.268,0.0,5.076,0.011,0.056
0.278,0.0,5.076,0.011,0.056
0.289,0.0,5.072,0.011,0.056
0.299,0.0,5.076,0.011,0.056
0.31,0.0,5.076,0.01,0.051
0.32,0.0,5.076,0.012,0.061
0.331,0.0,5.076,0.01,0.051
0.341,0.0,5.072,0.01,0.051
0.352,0.0,5.076,0.01,0.051
0.363,0.0,5.076,0.01,0.051
0.373,0.0,5.076,0.01,0.051
0.384,0.0,5.072,0.01,0.051
0.394,0.0,5.076,0.01,0.051
0.405,0.0,5.072,0.0,0.0
0.416,0.0,5.072,0.011,0.056
0.427,0.0,5.072,0.012,0.061
0.437,0.0,5.072,0.011,0.056
0.448,0.0,5.072,0.01,0.051
0.458,0.0,5.076,0.01,0.051
0.469,0.0,5.072,0.01,0.051
0.479,0.0,5.072,0.0,0.0
0.489,0.0,5.076,0.011,0.056
0.499,0.0,5.076,0.012,0.061
0.509,0.0,5.076,0.011,0.056
0.518,0.0,5.076,0.012,0.061
0.528,0.0,5.072,0.01,0.051
0.538,0.0,5.076,0.0,0.0
0.548,0.0,5.072,0.0,0.0
0.558,0.0,5.072,0.01,0.051
0.567,0.0,5.076,0.01,0.051
0.577,0.0,5.072,0.012,0.061
0.588,0.0,5.076,0.011,0.056
0.598,0.0,5.076,0.012,0.061
0.609,0.0,5.072,0.012,0.061
0.619,0.0,5.076,0.011,0.056
0.63,0.0,5.072,0.0,0.0
0.64,0.0,5.072,0.011,0.056
0.651,0.0,5.076,0.011,0.056
0.661,0.0,5.076,0.011,0.056
0.672,0.0,5.076,0.013,0.066
0.682,0.0,5.076,0.01,0.051
0.693,0.0,5.072,0.01,0.051
0.703,0.0,5.076,0.01,0.051
0.714,0.0,5.076,0.01,0.051
0.725,0.0,5.072,0.011,0.056
0.735,0.0,5.076,0.011,0.056
0.746,0.0,5.076,0.011,0.056
0.757,0.0,5.076,0.0,0.0
0.767,0.0,5.076,0.01,0.051
0.778,0.0,5.072,0.012,0.061
0.788,0.0,5.072,0.011,0.056
0.798,0.0,5.076,0.01,0.051
