Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.479,0.0,5.076,0.0,0.0
0.537,0.0,5.076,0.0,0.0
0.549,0.0,5.076,0.016,0.081
0.561,0.0,5.072,0.013,0.066
0.572,0.0,5.072,0.0,0.0
0.583,0.0,5.076,0.0,0.0
0.596,0.0,5.076,0.01,0.051
0.61,0.0,5.076,0.0,0.0
0.622,0.0,5.076,0.01,0.051
0.633,0.0,5.076,0.01,0.051
0.643,0.0,5.076,0.01,0.051
0.655,0.0,5.072,0.01,0.051
0.666,0.0,5.072,0.0,0.0
0.781,0.0,5.08,0.0,0.0
0.792,0.0,5.076,0.0,0.0
0.803,0.0,5.072,0.01,0.051
0.817,0.0,5.076,0.0,0.0
0.829,0.0,5.076,0.01,0.051
0.842,0.0,5.076,0.0,0.0
0.854,0.0,5.076,0.01,0.051
0.866,0.0,5.076,0.01,0.051
0.878,0.0,5.076,0.011,0.056
0.89,0.0,15.168,0.028,0.425
0.902,0.0,15.168,0.028,0.425
0.967,0.0,15.16,0.422,6.398
0.978,0.0,15.156,0.525,7.957
0.988,0.0,15.152,0.646,9.788
0.998,0.0,15.168,0.027,0.41
1.008,0.0,15.168,0.026,0.394
1.019,0.0,15.16,0.323,4.897
1.03,0.0,15.156,0.422,6.396
1.04,0.0,15.156,0.529,8.018
1.052,0.0,15.152,0.645,9.773
1.063,0.0,15.148,0.741,11.225
1.073,0.0,15.144,0.84,12.721
1.085,0.0,15.144,0.938,14.205
1.096,0.0,15.144,0.929,14.069
1.106,0.0,15.144,0.906,13.72
1.118,0.0,15.144,0.906,13.72
1.129,0.0,15.148,0.918,13.906
1.14,0.0,15.144,0.905,13.705
1.151,0.0,15.144,0.916,13.872
1.162,0.0,15.14,0.954,14.444
1.173,0.0,15.14,0.913,13.823
1.184,0.0,15.144,0.945,14.311
1.195,0.0,15.14,0.932,14.11
1.206,0.0,15.148,0.899,13.618
1.217,0.0,15.144,0.912,13.811
1.228,0.0,15.144,0.919,13.917
1.239,0.0,15.148,0.899,13.618
1.25,0.0,15.144,0.919,13.917
1.262,0.0,15.144,0.92,13.932
1.273,0.0,15.144,0.92,13.932
1.283,0.0,15.144,0.925,14.008
1.294,0.0,15.144,0.929,14.069
1.306,0.0,15.144,0.91,13.781
1.317,0.0,15.148,0.93,14.088
1.326,0.0,15.148,0.923,13.982
1.337,0.0,15.144,0.9,13.63
1.347,212.0,15.148,0.901,13.648
1.357,213.0,15.144,0.901,13.645
1.367,213.0,15.144,0.027,0.409
1.378,214.0,15.168,0.029,0.44
1.388,214.0,15.16,0.227,3.441
1.399,214.0,15.156,0.419,6.35
1.41,214.0,15.156,0.508,7.699
1.42,214.0,15.152,0.515,7.803
1.431,214.0,15.148,0.636,9.634
1.442,213.0,15.152,0.74,11.212
1.454,213.0,15.148,0.836,12.664
1.464,212.0,15.144,0.935,14.16
1.476,211.0,15.144,0.972,14.72
1.494,209.0,15.144,0.968,14.659
1.504,208.0,15.148,0.897,13.588
1.516,206.0,15.144,0.905,13.705
1.527,204.0,15.14,0.915,13.853
1.538,202.0,15.148,0.897,13.588
1.55,200.0,15.144,0.937,14.19
1.562,198.0,15.144,0.921,13.948
1.573,195.0,15.148,0.897,13.588
1.584,193.0,15.144,0.902,13.66
1.596,190.0,15.144,0.9,13.63
1.607,187.0,15.144,0.943,14.281
1.618,183.0,15.144,0.935,14.16
1.63,180.0,15.148,0.88,13.33
1.642,176.0,15.144,0.879,13.312
1.653,172.0,15.148,0.895,13.557
1.665,168.0,15.144,0.894,13.539
1.677,164.0,15.144,0.89,13.478
1.688,160.0,15.144,0.88,13.327
1.699,155.0,15.148,0.879,13.315
1.711,151.0,15.152,0.693,10.5
1.723,146.0,15.148,0.691,10.467
1.733,141.0,15.148,0.727,11.013
1.746,135.0,15.148,0.723,10.952
1.757,130.0,15.152,0.735,11.137
1.768,124.0,15.148,0.729,11.043
1.78,119.0,15.148,0.691,10.467
1.792,113.0,15.152,0.672,10.182
1.803,107.0,15.152,0.693,10.5
1.815,103.0,15.152,0.692,10.485
1.827,100.0,15.152,0.689,10.44
1.838,96.0,15.152,0.683,10.349
1.849,92.0,15.152,0.681,10.319
1.861,89.0,15.152,0.697,10.561
1.872,85.0,15.148,0.717,10.861
1.883,81.0,15.148,0.743,11.255
1.895,77.0,15.148,0.717,10.861
1.906,72.0,15.148,0.685,10.376
1.918,68.0,15.148,0.697,10.558
1.93,63.0,15.152,0.698,10.576
1.941,59.0,15.152,0.689,10.44
1.952,54.0,15.152,0.687,10.409
1.964,49.0,15.152,0.689,10.44
1.976,44.0,15.152,0.691,10.47
1.989,39.0,15.148,0.688,10.422
2.001,34.0,15.148,0.762,11.543
2.012,28.0,15.152,0.726,11.0
2.023,23.0,15.148,0.723,10.952
2.035,17.0,15.148,0.687,10.407
2.047,11.0,15.152,0.686,10.394
2.058,5.0,15.152,0.695,10.531
