Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.166,0.0,5.204,0.0,0.0
0.177,0.0,5.3,0.0,0.0
0.236,0.0,5.248,0.0,0.0
0.247,0.0,5.252,0.0,0.0
0.259,0.0,5.248,0.0,0.0
0.269,0.0,5.248,0.0,0.0
0.28,0.0,9.252,0.014,0.13
0.291,0.0,9.252,0.013,0.12
0.301,0.0,9.256,0.013,0.12
0.312,0.0,9.252,0.014,0.13
0.323,0.0,9.252,0.014,0.13
0.334,0.0,9.256,0.013,0.12
0.344,0.0,9.256,0.014,0.13
0.356,0.0,9.252,0.012,0.111
0.366,0.0,9.252,0.014,0.13
0.377,0.0,9.252,0.013,0.12
0.388,0.0,9.256,0.012,0.111
0.458,0.0,9.16,-0.654,-5.991
0.469,0.0,9.172,-0.58,-5.32
0.48,0.0,9.168,-0.644,-5.904
0.491,0.0,9.18,-0.656,-6.022
0.501,0.0,9.176,-0.571,-5.239
0.512,0.0,9.164,-0.632,-5.792
0.523,0.0,9.164,-0.628,-5.755
0.533,0.0,9.176,-0.577,-5.295
0.544,0.0,9.16,-0.632,-5.789
0.555,0.0,9.16,-0.653,-5.981
0.566,0.0,9.18,-0.583,-5.352
0.577,0.0,9.164,-0.631,-5.782
0.587,0.0,9.16,-0.652,-5.972
0.597,0.0,9.176,-0.597,-5.478
0.608,0.0,9.172,-0.636,-5.833
0.679,0.0,9.164,-0.651,-5.966
0.69,0.0,9.168,-0.578,-5.299
0.7,0.0,9.152,-0.69,-6.315
0.712,0.0,9.164,-0.64,-5.865
0.722,0.0,9.18,-0.582,-5.343
0.733,0.0,9.172,-0.627,-5.751
0.744,0.0,9.168,-0.64,-5.868
0.754,0.0,9.18,-0.583,-5.352
0.765,0.0,9.176,-0.631,-5.79
0.776,0.0,9.168,-0.646,-5.923
0.786,0.0,9.18,-0.583,-5.352
0.797,0.0,9.176,-0.63,-5.781
0.809,0.0,9.164,-0.638,-5.847
0.819,0.0,9.176,-0.58,-5.322
0.83,0.0,9.172,-0.634,-5.815
0.841,0.0,9.16,-0.649,-5.945
0.851,0.0,9.176,-0.578,-5.304
0.862,0.0,9.172,-0.623,-5.714
0.873,0.0,9.172,-0.644,-5.907
0.884,0.0,9.18,-0.578,-5.306
0.894,0.0,9.176,-0.626,-5.744
0.906,0.0,9.184,-0.64,-5.878
0.916,0.0,9.184,-0.586,-5.382
0.927,0.0,9.184,-0.627,-5.758
0.938,0.0,9.156,-0.636,-5.823
0.948,0.0,9.176,-0.586,-5.377
0.959,0.0,9.168,-0.624,-5.721
0.971,0.0,9.164,-0.646,-5.92
0.981,0.0,9.184,-0.585,-5.373
0.991,0.0,9.18,-0.614,-5.637
1.003,0.0,9.172,-0.65,-5.962
1.013,0.0,9.18,-0.581,-5.334
1.024,0.0,9.168,-0.629,-5.767
1.036,0.0,9.156,-0.647,-5.924
1.046,0.0,9.18,-0.579,-5.315
1.057,0.0,9.172,-0.625,-5.732
1.068,0.0,9.176,-0.652,-5.983
1.078,0.0,9.18,-0.581,-5.334
1.089,0.0,9.172,-0.623,-5.714
1.1,0.0,9.168,-0.656,-6.014
1.111,0.0,9.192,-0.575,-5.285
1.121,0.0,9.18,-0.607,-5.572
1.133,0.0,9.176,-0.663,-6.084
1.143,0.0,9.18,-0.579,-5.315
1.154,0.0,9.168,-0.63,-5.776
1.165,0.0,9.16,-0.654,-5.991
1.175,0.0,9.176,-0.58,-5.322
1.186,0.0,9.176,-0.628,-5.763
1.197,0.0,9.168,-0.641,-5.877
1.207,0.0,9.176,-0.578,-5.304
1.218,0.0,9.168,-0.627,-5.748
1.229,0.0,9.168,-0.65,-5.959
1.24,0.0,9.168,-0.576,-5.281
1.25,0.0,9.168,-0.643,-5.895
1.262,0.0,9.168,-0.633,-5.803
1.272,0.0,9.176,-0.581,-5.331
1.283,0.0,9.176,-0.625,-5.735
1.294,0.0,9.164,-0.645,-5.911
1.304,0.0,9.176,-0.581,-5.331
1.315,0.0,9.184,-0.626,-5.749
1.326,0.0,9.164,-0.643,-5.892
1.337,0.0,9.18,-0.581,-5.334
1.347,0.0,9.172,-0.624,-5.723
1.359,34.0,9.176,-0.655,-6.01
1.369,29.0,9.176,-0.581,-5.331
1.38,25.0,9.172,-0.61,-5.595
1.391,20.0,9.172,-0.648,-5.943
1.401,14.0,9.18,-0.578,-5.306
1.412,12.0,9.168,-0.63,-5.776
1.424,10.0,9.164,-0.655,-6.002
1.434,8.0,9.176,-0.578,-5.304
1.444,6.0,9.172,-0.627,-5.751
1.456,4.0,9.16,-0.646,-5.917
1.466,1.0,9.176,-0.581,-5.331
