Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.096,0.0,0.12,0.0,0.0
0.107,0.0,0.12,0.0,0.0
0.119,0.0,0.124,0.0,0.0
0.13,0.0,0.12,0.0,0.0
0.14,0.0,0.124,0.0,0.0
0.151,0.0,0.12,0.0,0.0
0.161,0.0,0.12,0.0,0.0
0.172,0.0,0.12,0.0,0.0
0.182,0.0,0.116,0.0,0.0
0.192,0.0,5.076,0.01,0.051
0.212,0.0,5.076,0.011,0.056
0.245,0.0,5.076,0.01,0.051
0.267,0.0,5.076,0.011,0.056
0.282,0.0,5.076,0.011,0.056
0.293,0.0,5.076,0.0,0.0
0.305,0.0,5.08,0.01,0.051
0.316,0.0,5.076,0.011,0.056
0.328,0.0,5.072,0.0,0.0
0.339,0.0,5.076,0.0,0.0
0.351,0.0,5.076,0.0,0.0
0.362,0.0,5.072,0.0,0.0
0.374,0.0,5.072,0.01,0.051
0.385,0.0,5.072,0.01,0.051
0.397,0.0,5.076,0.0,0.0
0.409,0.0,5.076,0.01,0.051
0.42,0.0,5.072,0.011,0.056
0.433,0.0,5.076,0.01,0.051
0.445,0.0,5.072,0.01,0.051
0.456,0.0,5.072,0.0,0.0
0.468,0.0,5.072,0.0,0.0
0.48,0.0,5.072,0.0,0.0
0.492,0.0,5.072,0.01,0.051
0.504,0.0,5.076,0.0,0.0
0.516,0.0,5.076,0.0,0.0
0.528,0.0,5.072,0.011,0.056
0.54,0.0,5.072,0.0,0.0
0.552,0.0,5.076,0.01,0.051
0.563,0.0,5.072,0.01,0.051
0.575,0.0,5.072,0.0,0.0
0.587,0.0,5.076,0.0,0.0
0.599,0.0,5.076,0.0,0.0
0.611,0.0,5.076,0.01,0.051
0.623,0.0,5.072,0.0,0.0
0.635,0.0,5.072,0.0,0.0
0.646,0.0,5.076,0.0,0.0
0.658,0.0,5.076,0.01,0.051
0.669,0.0,5.076,0.01,0.051
0.681,0.0,5.076,0.01,0.051
0.692,0.0,5.072,0.011,0.056
0.704,0.0,5.076,0.0,0.0
0.715,0.0,5.076,0.01,0.051
0.727,0.0,5.076,0.0,0.0
0.74,0.0,5.076,0.01,0.051
0.752,0.0,5.076,0.0,0.0
0.763,0.0,5.076,0.01,0.051
0.775,0.0,5.076,0.011,0.056
0.786,0.0,5.072,0.011,0.056
0.798,0.0,5.072,0.01,0.051
0.809,0.0,5.072,0.0,0.0
0.821,0.0,5.076,0.01,0.051
0.833,0.0,5.072,0.011,0.056
0.843,0.0,5.076,0.0,0.0
0.854,0.0,5.076,0.01,0.051
0.864,0.0,5.076,0.01,0.051
0.875,0.0,5.072,0.011,0.056
0.886,0.0,5.076,0.0,0.0
0.897,0.0,5.076,0.0,0.0
0.907,0.0,5.076,0.0,0.0
0.917,0.0,5.076,0.011,0.056
0.928,0.0,5.072,0.01,0.051
0.938,0.0,5.072,0.01,0.051
0.949,0.0,5.076,0.0,0.0
0.96,0.0,5.076,0.01,0.051
0.97,0.0,5.076,0.01,0.051
0.981,0.0,5.076,0.0,0.0
0.991,0.0,5.076,0.01,0.051
1.002,0.0,5.072,0.0,0.0
1.012,0.0,5.076,0.013,0.066
1.023,0.0,5.072,0.067,0.34
1.034,0.0,5.072,0.069,0.35
1.044,0.0,5.072,0.067,0.34
