Timestamp[us],Slope,VBUS Voltage[V],VBUS Current[A],VBUS Wattage[W]
0.116,0.0,0.12,0.0,0.0
0.128,0.0,0.116,0.0,0.0
0.139,0.0,0.116,0.0,0.0
0.151,0.0,0.12,0.0,0.0
0.163,0.0,0.12,0.0,0.0
0.174,0.0,0.116,0.0,0.0
0.186,0.0,0.12,0.056,0.007
0.198,0.0,5.076,0.01,0.051
0.209,0.0,5.076,0.01,0.051
0.221,0.0,5.076,0.01,0.051
0.282,0.0,5.072,0.01,0.051
0.294,0.0,5.076,0.01,0.051
0.306,0.0,5.076,0.0,0.0
0.318,0.0,5.076,0.01,0.051
0.329,0.0,5.076,0.011,0.056
0.341,0.0,5.076,0.011,0.056
0.353,0.0,5.076,0.011,0.056
0.366,0.0,5.072,0.01,0.051
0.377,0.0,5.076,0.011,0.056
0.389,0.0,5.072,0.01,0.051
0.4,0.0,5.076,0.0,0.0
0.412,0.0,5.076,0.01,0.051
0.424,0.0,5.072,0.011,0.056
0.435,0.0,5.072,0.0,0.0
0.445,0.0,5.072,0.01,0.051
0.456,0.0,5.076,0.01,0.051
0.466,0.0,5.076,0.011,0.056
0.477,0.0,5.072,0.011,0.056
0.487,0.0,5.072,0.01,0.051
0.498,0.0,5.076,0.01,0.051
0.508,0.0,5.076,0.0,0.0
0.519,0.0,5.076,0.01,0.051
0.53,0.0,5.076,0.01,0.051
0.54,0.0,5.076,0.0,0.0
0.551,0.0,5.076,0.0,0.0
0.561,0.0,5.076,0.01,0.051
0.572,0.0,5.076,0.0,0.0
0.582,0.0,5.076,0.0,0.0
0.593,0.0,5.076,0.01,0.051
0.604,0.0,5.076,0.011,0.056
0.614,0.0,5.072,0.01,0.051
0.625,0.0,5.072,0.0,0.0
0.635,0.0,5.076,0.01,0.051
0.646,0.0,5.076,0.0,0.0
0.656,0.0,5.072,0.0,0.0
0.667,0.0,5.076,0.01,0.051
0.677,0.0,5.076,0.01,0.051
0.688,0.0,5.076,0.0,0.0
0.699,0.0,5.076,0.0,0.0
0.709,0.0,5.076,0.012,0.061
0.72,0.0,5.076,0.01,0.051
0.73,0.0,5.08,0.0,0.0
0.741,0.0,5.072,0.01,0.051
0.752,0.0,5.076,0.0,0.0
0.763,0.0,5.076,0.0,0.0
0.773,0.0,5.076,0.01,0.051
0.784,0.0,5.076,0.011,0.056
0.794,0.0,5.072,0.011,0.056
0.805,0.0,5.076,0.0,0.0
0.815,0.0,5.076,0.01,0.051
0.826,0.0,5.076,0.01,0.051
0.837,0.0,5.072,0.01,0.051
0.847,0.0,5.076,0.01,0.051
0.858,0.0,5.076,0.01,0.051
0.869,0.0,5.076,0.0,0.0
0.879,0.0,5.076,0.01,0.051
0.889,0.0,5.076,0.01,0.051
0.9,0.0,5.072,0.01,0.051
0.91,0.0,5.076,0.0,0.0
0.92,0.0,5.076,0.011,0.056
0.931,0.0,5.076,0.01,0.051
0.941,0.0,5.076,0.0,0.0
0.952,0.0,5.076,0.0,0.0
0.962,0.0,5.072,0.011,0.056
0.973,0.0,5.072,0.01,0.051
0.983,0.0,5.076,0.011,0.056
0.994,0.0,5.076,0.0,0.0
1.005,0.0,5.076,0.0,0.0
1.016,0.0,5.072,0.09,0.456
1.027,0.0,5.072,0.067,0.34
1.039,0.0,5.072,0.068,0.345
1.051,0.0,5.072,0.091,0.462
1.062,0.0,5.072,0.09,0.456
1.139,0.0,5.072,0.137,0.695
1.151,0.0,5.072,0.16,0.812
1.162,0.0,5.068,0.16,0.811
1.174,0.0,5.072,0.16,0.812
1.186,0.0,5.068,0.183,0.927
1.198,0.0,5.068,0.183,0.927
1.21,0.0,5.068,0.183,0.927
1.221,0.0,5.068,0.206,1.044
1.233,0.0,5.068,0.207,1.049
1.244,0.0,5.068,0.208,1.054
1.256,0.0,5.064,0.23,1.165
1.267,0.0,5.068,0.23,1.166
1.279,0.0,5.064,0.245,1.241
1.291,0.0,5.068,0.254,1.287
1.303,0.0,5.068,0.253,1.282
1.315,0.0,5.068,0.278,1.409
1.327,0.0,5.064,0.276,1.398
1.337,19.0,5.068,0.277,1.404
1.348,16.0,5.064,0.3,1.519
1.358,14.0,5.064,0.3,1.519
1.369,11.0,5.064,0.299,1.514
1.379,8.0,5.06,0.323,1.634
1.39,5.0,5.064,0.322,1.631
1.401,2.0,5.064,0.323,1.636
1.412,0.0,5.064,0.342,1.732
1.422,0.0,5.064,0.348,1.762
1.431,0.0,5.06,0.347,1.756
1.439,0.0,5.06,0.347,1.756
1.447,0.0,5.064,0.37,1.874
1.455,0.0,5.06,0.369,1.867
1.463,0.0,5.06,0.369,1.867
1.471,0.0,5.064,0.37,1.874
1.479,0.0,5.064,0.37,1.874
1.487,0.0,5.064,0.371,1.879
1.495,0.0,5.064,0.368,1.864
1.503,0.0,5.064,0.369,1.869
1.51,0.0,5.06,0.393,1.989
1.519,0.0,5.06,0.394,1.994
1.526,0.0,5.06,0.393,1.989
1.534,0.0,5.06,0.394,1.994
1.542,0.0,5.064,0.395,2.0
1.55,0.0,5.064,0.395,2.0
1.558,0.0,5.06,0.395,1.999
1.566,0.0,5.06,0.395,1.999
1.574,0.0,5.064,0.361,1.828
1.581,0.0,5.064,0.395,2.0
1.589,0.0,5.064,0.394,1.995
1.597,0.0,5.06,0.396,2.004
1.605,0.0,5.064,0.355,1.798
1.613,0.0,5.06,0.394,1.994
1.621,0.0,5.06,0.396,2.004
1.628,0.0,5.06,0.394,1.994
1.636,0.0,5.068,0.272,1.378
1.644,0.0,5.068,0.328,1.662
1.652,0.0,5.064,0.394,1.995
1.66,0.0,5.064,0.395,2.0
